,in_degree,out_degree,betweenness,pagerank,clustering
XLK,0,0,0.0,0.079,0
XLI,0,0,0.0,0.079,0
XLY,0,0,0.0,0.079,0
XLF,0,1,0.0,0.079,0
XLV,0,0,0.0,0.079,0
XLE,1,0,0.0,0.146,0
XLB,0,0,0.0,0.079,0
XLRE,0,1,0.0,0.079,0
XLU,1,0,0.0,0.146,0
XLP,0,0,0.0,0.079,0
XLC,0,0,0.0,0.079,0
