,trace_stat,trace_crit_5pct,trace_reject,max_eig_stat,max_eig_crit_5pct,max_eig_reject
r<=0,309.86584389488206,285.1402,True,96.4603223779024,70.5392,True
r<=1,213.4055215169796,239.2468,False,58.404774986409365,64.504,False
r<=2,155.00074653057024,197.3772,False,43.951837886181536,58.4332,False
r<=3,111.04890864438869,159.529,False,30.484216435246516,52.3622,False
r<=4,80.5646922091422,125.6185,False,24.489984228998342,46.2299,False
r<=5,56.07470798014383,95.7542,False,21.73747638768031,40.0763,False
r<=6,34.337231592463525,69.8189,False,13.02769110599854,33.8777,False
r<=7,21.309540486464986,47.8545,False,8.65265385715759,27.5858,False
r<=8,12.656886629307394,29.7961,False,6.289581471152278,21.1314,False
r<=9,6.3673051581551166,15.4943,False,3.759727401660985,14.2639,False
r<=10,2.6075777564941314,3.8415,False,2.6075777564941314,3.8415,False
