date,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC,regime_label
2018-06-22,-0.006411736131980955,0.0008373465763521874,-0.0044102529700563,-0.007537530072613565,0.0027714001379874516,0.016998871547215355,0.012288285053377694,0.00629025381413929,0.0050111425951872915,0.006599167315267133,0.0020355810347535293,Non-High-TPU
2018-06-25,-0.02287299314599034,-0.014207805079181967,-0.023414457698797648,-0.012240916710655744,-0.01020119499419733,-0.02177514668385756,-0.01686791762507916,-0.0037404254500845516,0.01532816083237256,0.0041157785314772394,-0.02208198723261248,Non-High-TPU
2018-06-26,0.0016155372932144096,0.0018282444252441573,0.005181578704073868,-0.005363610031017686,-0.004374823731244439,0.010534808132831194,0.002211006363506296,0.0035213272281421704,-0.00026480180087797597,-0.00543022132553259,-4.217197663233243e-05,Non-High-TPU
2018-06-27,-0.015405660326305587,-0.009341775465313045,-0.014240287284026909,-0.013678772551908277,-0.009338325999092107,0.012087913554702996,-0.00413253369877414,-0.0038303705816073313,0.0038906486725402427,-0.0029172185934579348,-0.009845007408357172,Non-High-TPU
2018-06-28,0.010108068687069705,-0.00020007950539953595,0.006226594915577639,0.00706075334616635,0.00025697452181972446,-0.002951873300991746,0.0024953941542430287,0.008453956235278323,-0.0015742767458343243,-0.0009883086140383395,0.00852490236712929,Non-High-TPU
2018-06-29,-0.0027647669049206463,0.00024092908181809394,-0.00013434058614694364,-0.001910062511109445,0.0008102644047079412,0.0042931958827195395,0.0019192768075464172,0.0007906044608011799,0.00016982260292584795,-0.0017174927791024758,-0.0028474038461126098,Non-High-TPU
2018-07-02,0.006410698150463027,0.00025052661681988645,-0.0006434855014105139,0.002833253069750884,0.0018063922664106444,-0.01688929173332398,-0.006980186521075986,-0.0076000273921110004,0.005639374878294603,-0.0070417649629842816,0.004474991035518875,Non-High-TPU
2018-07-03,-0.01419528158880343,-0.005016446657863093,-0.006861807282414585,-0.010874402568597995,0.001192267498412539,0.004422884250520153,-0.003214174271772647,0.004224076003394889,0.0015289815873059547,0.0012357264640798409,-0.013918588489232614,Non-High-TPU
2018-07-05,0.011362736041857838,0.0027060576401617045,0.002719364620332884,9.906154793039561e-06,0.008888612854294958,-0.003296681687820131,0.00684840788983239,0.011097866207182821,0.003729367598895447,0.012420549066681254,0.013174321414515022,Non-High-TPU
2018-07-06,0.0083502189144241,0.0007832724677731182,0.005034453957179099,0.002064741264230624,0.012532355790918666,0.003298005785794714,0.0027552706249792396,0.0017413343186907246,0.005784078196306565,0.001463503588717256,0.013262928386176981,Non-High-TPU
2018-07-09,0.004072035398966525,0.015493798705322373,0.008863020415647935,0.019551955971124288,0.005405607467313025,0.011783290127910488,0.0064550290164115225,-0.012050228171701781,-0.033442326008915314,-0.005567778976478466,0.0030742539869482465,Non-High-TPU
