,vec_1
XLK,-0.0064463002555941165
XLI,0.030215227934980143
XLY,0.014523717788379291
XLF,0.02066797988279428
XLV,0.004045344332163206
XLE,0.028885593910604915
XLB,0.02297035132292488
XLRE,0.033576478569267286
XLU,0.01644898036237694
XLP,-0.006268730546923264
XLC,0.000173496779333488
