,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
XLK,0,0,0,0,0,0,0,0,1,1,0
XLI,0,0,0,0,0,0,0,0,1,1,0
XLY,0,1,0,1,0,0,0,0,1,1,0
XLF,0,0,0,0,0,0,0,0,1,1,0
XLV,0,0,0,0,0,1,0,0,0,1,0
XLE,0,0,0,0,0,0,0,0,1,1,0
XLB,0,0,0,0,0,0,0,0,1,1,0
XLRE,0,0,0,0,0,0,0,0,1,1,0
XLU,0,0,1,0,0,0,0,1,0,0,0
XLP,0,0,0,0,0,0,0,0,0,0,0
XLC,0,0,0,0,0,0,0,0,1,1,0
