,in_degree,out_degree,betweenness,pagerank,clustering
XLK,0,2,0.0,0.032,0.0
XLI,1,2,0.0,0.059,0.667
XLY,1,4,0.183,0.126,0.667
XLF,1,2,0.0,0.059,0.667
XLV,0,2,0.0,0.032,1.0
XLE,1,2,0.056,0.045,0.333
XLB,0,2,0.0,0.032,0.0
XLRE,1,2,0.006,0.126,0.0
XLU,8,2,0.333,0.222,0.071
XLP,9,0,0.0,0.236,0.083
XLC,0,2,0.0,0.032,0.0
