Date,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
2018-06-20,,,,,,,,,,,
2018-06-21,,,,,,,,,,,
2018-06-22,,,,,,,,,,,
2018-06-25,,,,,,,,,,,
2018-06-26,,,,,,,,,,,
2018-06-27,,,,,,,,,,,
2018-06-28,,,,,,,,,,,
2018-06-29,,,,,,,,,,,
2018-07-02,,,,,,,,,,,
2018-07-03,,,,,,,,,,,
2018-07-05,,,,,,,,,,,
2018-07-06,,,,,,,,,,,
2018-07-09,,,,,,,,,,,
2018-07-10,,,,,,,,,,,
2018-07-11,,,,,,,,,,,
2018-07-12,,,,,,,,,,,
2018-07-13,,,,,,,,,,,
2018-07-16,,,,,,,,,,,
2018-07-17,,,,,,,,,,,
2018-07-18,,,,,,,,,,,
2018-07-19,0.15106894587363562,0.1325025369584019,0.1212872048350482,0.15444751899706202,0.1056321993898886,0.18642450136120448,0.13926024977533846,0.10449885471655042,0.1445435834792289,0.09322901957836636,0.1510508707566682
2018-07-20,0.15099256240458384,0.13266708511199585,0.12129655984763825,0.15417745229862714,0.10610265171475164,0.18621334918496296,0.13954562696261094,0.10571706757912158,0.14807670165136427,0.0946251728272398,0.14592719403499785
2018-07-23,0.14855998229617862,0.12620339292094823,0.11862401445998061,0.1601721695511235,0.10327396279578989,0.17446708712352302,0.13564458455902423,0.10486232148119913,0.151187984314004,0.09844475900777101,0.14456369075667835
2018-07-24,0.14830520510058834,0.12640405025666646,0.11895667082593728,0.15870524963020452,0.1061981028372063,0.16604472724199934,0.1336258053078467,0.10110577910075529,0.15007142201981186,0.09520569547119846,0.14568683315323996
2018-07-25,0.12779510799041705,0.12478400838397151,0.09001953866507353,0.1521479212141594,0.10531907398970186,0.1503297936932642,0.12288772417676747,0.10617083615142044,0.13980897000587347,0.09698441969368236,0.12376605206920925
2018-07-26,0.14323920860429148,0.1260391946935759,0.09057696791384798,0.15109963488226605,0.105135115457393,0.1488703382170311,0.12356306888674169,0.10532210621871484,0.14409175687507564,0.09604977041005328,0.18757496492275003
2018-07-27,0.14861037694810322,0.12033763683811817,0.07635216081170454,0.14116999979273104,0.10354971467151791,0.1436656760662748,0.1238478053510697,0.1100921028308055,0.1441367224219455,0.09515125035639312,0.19712464124057807
2018-07-30,0.15615565859753708,0.1283429743147669,0.07937095131594643,0.13988637440950366,0.10370515937008967,0.14577104034761493,0.12398194282251761,0.10437174830059016,0.1460117018654839,0.09547643978678584,0.20067135973133485
