Date,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
2018-06-20,0.0020978012294552255,0.0006827734669948009,0.004729895323833483,-0.002562579954132703,0.002118728520109875,0.004405585446722331,-0.003253722361232551,0.01073575939100221,0.0007969011728250687,0.0009788216401272925,0.01233366420608464
2018-06-21,-0.007713355548361017,-0.012634392559510392,-0.007148498843171071,-0.002936656492041716,-0.005778602425003583,-0.018689784142461554,-0.010691641920851843,0.005949470962100191,0.0033785007086518963,0.001954681333892828,-0.006147981419915344
2018-06-22,-0.0032431441818664432,0.003448814003287237,-0.0017052554366033602,-0.0047911314409440015,0.004484340219932102,0.019755051719931842,0.014457921779302127,0.008703995690450534,0.006920557356671055,0.0081680092915728,0.0043666525581699195
2018-06-25,-0.020981477443915753,-0.012751180771613121,-0.021978778576285798,-0.010770616848075074,-0.009226469725265059,-0.020298060444748446,-0.015672457832125546,-0.0024790573761308992,0.016416259185429716,0.00502308587058159,-0.02081324194104983
2018-06-26,0.004030671468412036,0.0037591497081785018,0.007136884020869277,-0.0033665802298297686,-0.0030944351347178237,0.012549815598510627,0.0038115365762657048,0.005260776664190016,0.0011625110407190878,-0.004248448023092637,0.0016567179611771793
2018-06-27,-0.013741641966789562,-0.008093028200323172,-0.013031243289752364,-0.012441253529722822,-0.00849946277560641,0.013321231059808845,-0.003117102070803236,-0.002781719288059187,0.004828484519878703,-0.002131607939395477,-0.008759592070689888
2018-06-28,0.012159999466944203,0.0014003755680037336,0.007820777447437583,0.008688046916021338,0.0013212636807697646,-0.0013239439138263381,0.003808740729782556,0.009855302185172415,-0.00038555024570717403,0.0,0.009930173730366398
2018-06-29,-0.00043154409261745647,0.0020962543538893125,0.0017400661259664447,0.0,0.002038839782860241,0.006208305589337965,0.003449955167283246,0.002448628318168142,0.001540744776765904,-0.0005817949901554201,-0.001210554601331504
2018-07-02,0.008884547360087905,0.0022309653341035167,0.001371153646197783,0.004876493665211013,0.0031107726292535724,-0.014858449096295526,-0.005352822681122495,-0.005825427659430505,0.007095764757618484,-0.0058389506492336415,0.0062392174145594215
2018-07-03,-0.011912006289430423,-0.0032086218234559463,-0.005037637950718717,-0.009022412550965773,0.0023861580410430463,0.006262216320665026,-0.001732553725445054,0.00582542765943063,0.002862278097755981,0.0023395809487725475,-0.01231465661889739
