Date,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
2018-01-02,3.396952417536944,4.193508474067251,3.8346070848490723,3.1732145610872124,4.286662628042501,3.248328180280003,3.257930144690448,3.212357894617234,3.0023396728103013,3.8136285606148688,
2018-01-03,3.405259022532789,4.198880381832503,3.839187709875515,3.178572812373038,4.296185234227387,3.263193606295993,3.2649101636378615,3.212663176377929,2.994452768813371,3.813274762829428,
2018-01-04,3.4103014233629247,4.206171172844715,3.8424609826603224,3.1877929362291657,4.29760568569287,3.269211526663453,3.2736075864745477,3.195421451385749,2.98611375295638,3.8161016464602397,
2018-01-05,3.420763008391206,4.213022831441247,3.8503521946477224,3.1906125712855857,4.306087311091623,3.2688115583246997,3.281593483958087,3.197593208885883,2.9857240911434206,3.820502548690398,
2018-01-08,3.4245266291064773,4.217137204923959,3.8515307305434723,3.1892037082539444,4.302444596569082,3.27479608220238,3.2830241455664972,3.2043874469824174,2.995031554322203,3.822958797057755,
2018-01-09,3.4219691828438963,4.22353173291527,3.8534914712682373,3.196928279555438,4.314148906074313,3.2722734671299545,3.2814342518035757,3.192933776739011,2.985139313582869,3.8215559296087833,
2018-01-10,3.4184981429940913,4.22340399862031,3.852805507581553,3.2052878310469257,4.312401652032753,3.27107646429913,3.275369900483187,3.1772448668777606,2.97416334154739,3.8166305468483905,
2018-01-11,3.422571289300834,4.236073726133114,3.8689443779061494,3.2101322667924754,4.316705336543199,3.29136446096123,3.2884106840561445,3.1708996641774103,2.970411531182884,3.8152191875082173,
2018-01-12,3.428426185254043,4.24534687159,3.881784396822707,3.219066922940809,4.324336557560583,3.3009686428574274,3.289989462297896,3.1635525253482877,2.9646582782716857,3.815572214131108,
2018-01-16,3.4245266291064773,4.236325521417156,3.87461790379649,3.2163261905925946,4.3292770738247945,3.2882293287478586,3.2782470046298093,3.1683499939233206,2.962467277709119,3.8201510913576344,
2018-01-17,3.4394412265072325,4.241848379265453,3.879401477972318,3.2238451467636366,4.338858175119305,3.296956276733001,3.2828652126394,3.1740771386397633,2.968629453505109,3.831507926683476,
2018-01-18,3.441216197275257,4.236451284975874,3.8785422447030884,3.2224819857454596,4.339085278646783,3.2887527354090933,3.282229371434526,3.1645138620864857,2.962268099643369,3.8285500883708647,
2018-01-19,3.4431354523563806,4.2393420199168395,3.887197191904546,3.2296165808961685,4.342823720739634,3.2874442390170002,3.2882526761736424,3.17153604728326,2.959271701865799,3.8396403225770963,
2018-01-22,3.452822868283934,4.2393420199168395,3.8982155804725025,3.2377084503753677,4.349360511653164,3.308816752052246,3.285879485707052,3.1810325622523923,2.9606710723676506,3.8471939147355805,
